Event Name,Game Day,Game Day of Wk,Section,Row,Seat Qty,Acc #,Sale Date,Section Name,Promo Code,Comp,Current Block Price,Sale Day,Net Revenue,,
TML1028,2023-10-28,Sat,103,7,2,2603061,2023-10-20,Family Zone,,N,32.00,Fri,30.48,,
TML1028,2023-10-28,Sat,103,12,2,13077915,2023-10-18,Family Zone,,N,32.00,Wed,30.48,,
TML1028,2023-10-28,Sat,103,7,3,13835976,2023-10-16,Family Zone,,N,48.00,Mon,45.71,,
TML1028,2023-10-28,Sat,103,17,3,13812322,2023-10-06,Family Zone,,N,48.00,Fri,45.71,,
TML1028,2023-10-28,Sat,103,9,3,13316982,2023-08-31,Family Zone,,N,48.00,Thu,45.71,,
TML1028,2023-10-28,Sat,103,21,2,11164454,2023-10-06,Family Zone,,N,32.00,Fri,30.48,,
TML1028,2023-10-28,Sat,103,10,3,14800420,2023-09-21,Family Zone,,N,48.00,Thu,45.71,,
TML1028,2023-10-28,Sat,103,8,5,7574560,2023-08-31,Family Zone,,N,80.00,Thu,76.19,,
TML1028,2023-10-28,Sat,103,10,2,8184922,2023-09-05,Family Zone,,N,32.00,Tue,30.48,,
TML1028,2023-10-28,Sat,103,16,3,14690762,2023-10-01,Family Zone,,N,48.00,Sun,45.71,,
TML1028,2023-10-28,Sat,103,16,2,16038204,2023-10-27,Family Zone,,N,32.00,Fri,30.48,,
TML1028,2023-10-28,Sat,103,7,2,8816025,2023-10-14,Family Zone,,N,32.00,Sat,30.48,,
TML1028,2023-10-28,Sat,103,17,1,6636824,2023-09-30,Family Zone,,N,16.00,Sat,15.24,,
TML1028,2023-10-28,Sat,103,17,3,14162226,2023-09-30,Family Zone,,N,48.00,Sat,45.71,,
TML1028,2023-10-28,Sat,103,10,2,8015035,2023-09-19,Family Zone,,N,32.00,Tue,30.48,,
TML1028,2023-10-28,Sat,103,10,1,13196906,2023-09-03,Family Zone,,N,16.00,Sun,15.24,,
TML1028,2023-10-28,Sat,103,10,1,13196906,2023-09-03,Family Zone,,N,16.00,Sun,15.24,,
TML1028,2023-10-28,Sat,103,18,2,8305160,2023-10-04,Family Zone,,N,32.00,Wed,30.48,,
TML1028,2023-10-28,Sat,103,13,2,13680090,2023-09-03,Family Zone,,N,32.00,Sun,30.48,,
TML1028,2023-10-28,Sat,103,18,2,15020948,2023-10-10,Family Zone,,N,32.00,Tue,30.48,,
TML1028,2023-10-28,Sat,103,19,4,13175894,2023-10-07,Family Zone,,N,64.00,Sat,60.95,,
TML1028,2023-10-28,Sat,103,16,2,6820125,2023-10-27,Family Zone,,N,32.00,Fri,30.48,,
TML1028,2023-10-28,Sat,103,7,1,11659022,2023-10-17,Family Zone,,N,16.00,Tue,15.24,,
TML1028,2023-10-28,Sat,103,13,7,7346158,2023-08-31,Family Zone,,N,112.00,Thu,106.67,,
TML1028,2023-10-28,Sat,103,18,2,7034106,2023-10-10,Family Zone,,N,32.00,Tue,30.48,,
TML1028,2023-10-28,Sat,103,8,2,1178739,2023-09-01,Family Zone,,N,32.00,Fri,30.48,,
TML1028,2023-10-28,Sat,103,11,2,4554450,2023-10-20,Family Zone,,N,32.00,Fri,30.48,,
TML1028,2023-10-28,Sat,103,18,2,8968491,2023-10-02,Family Zone,,N,32.00,Mon,30.48,,
TML1028,2023-10-28,Sat,103,17,2,12576435,2023-10-02,Family Zone,,N,32.00,Mon,30.48,,
TML1028,2023-10-28,Sat,103,14,15,342295,2023-10-21,Family Zone,,Y,0.00,Sat,0.00,,
TML1028,2023-10-28,Sat,103,14,6,342295,2023-10-21,Family Zone,,Y,0.00,Sat,0.00,,
TML1028,2023-10-28,Sat,103,15,4,342295,2023-10-21,Family Zone,,Y,0.00,Sat,0.00,,
TML1028,2023-10-28,Sat,103,15,12,342295,2023-10-21,Family Zone,,Y,0.00,Sat,0.00,,
TML1028,2023-10-28,Sat,103,15,6,342295,2023-10-21,Family Zone,,Y,0.00,Sat,0.00,,
TML1028,2023-10-28,Sat,103,16,5,342295,2023-10-21,Family Zone,,Y,0.00,Sat,0.00,,
TML1028,2023-10-28,Sat,103,16,3,342295,2023-10-21,Family Zone,,Y,0.00,Sat,0.00,,
TML1028,2023-10-28,Sat,103,17,3,342295,2023-10-21,Family Zone,,Y,0.00,Sat,0.00,,
TML1028,2023-10-28,Sat,103,11,21,342295,2023-10-21,Family Zone,,Y,0.00,Sat,0.00,,
TML1028,2023-10-28,Sat,103,19,8,342295,2023-10-21,Family Zone,,Y,0.00,Sat,0.00,,
TML1028,2023-10-28,Sat,103,19,4,342295,2023-10-21,Family Zone,,Y,0.00,Sat,0.00,,
TML1028,2023-10-28,Sat,103,19,5,342295,2023-10-21,Family Zone,,Y,0.00,Sat,0.00,,
TML1028,2023-10-28,Sat,103,19,9,342295,2023-10-21,Family Zone,,Y,0.00,Sat,0.00,,
